name,lat,lon,time_window_start,time_window_end
ТЦ Мега Химки,55.8970,37.3949,10:00,22:00
Красная Площадь,55.7539,37.6208,10:00,20:00
Парк Горького,55.7298,37.5995,08:00,22:00
ВДНХ,55.8264,37.6377,09:00,21:00
Москва-Сити,55.7494,37.5392,08:00,20:00
ТЦ Авиапарк,55.7910,37.5310,10:00,22:00
ТЦ Европолис,55.8540,37.4720,10:00,21:00
Салон связи Тверская,55.7650,37.6060,09:00,21:00
МТС Офис Арбат,55.7520,37.5930,09:00,20:00
Билайн Офис Таганка,55.7420,37.6530,09:00,18:00
Мегафон Офис Бауманская,55.7720,37.6790,09:00,18:00
Tele2 Салон Сокольники,55.7890,37.6790,09:00,19:00
DNS Кунцево,55.7310,37.3940,10:00,21:00
М.Видео Каширское,55.6550,37.6280,10:00,22:00
Эльдорадо Марьино,55.6500,37.7440,10:00,21:00
